Prot_FDR_confidence;Accession;Description;SV1_Abund.;SV2_Abund.;SV3_Abund.;SV4_Abund.;SV5_Abund.;SV6_Abund.;SV7_Abund.;SV8_Abund.;SV9_Abund.;SV10_Abund.;SV11_Abund.;SV17_Abund.;SV20_Abund.;SV21_Abund.;SV22_Abund.;SV23_Abund.;SV24_Abund.;SV27_Abund.;SV29_Abund.;SV30_Abund.;SV31_Abund.;SV32_Abund.;SV33_Abund.;SV34_Abund.;SV38_Abund.;SV41_Abund.;SV42_Abund.;SV43_Abund.;SV44_Abund.;SV47_Abund.;SV48_Abund.;SV49_Abund.;SV51_Abund.;SV52_Abund.;SV53_Abund.;SV54_Abund.;SV55_Abund.;SV56_Abund.;SV57_Abund.;SV58_Abund.;SV59_Abund.;SV60_Abund.;SV61_Abund.;SV62_Abund.;SV63_Abund.;SV64_Abund.;SV65_Abund.;SV66_Abund.;SV67_Abund.;SV68_Abund.;SV69_Abund.;SV70_Abund.;SV71_Abund.;SV72_Abund.;SV73_Abund.;SV74_Abund.;SV75_Abund.;SV76_Abund.;SV77_Abund.;SV78_Abund.;SV79_Abund.;SV80_Abund.;SV81_Abund.;SV82_Abund.;SV83_Abund.;SV84_Abund.;SV85_Abund.;SV86_Abund.;SV87_Abund.;SV88_Abund.;Biological_Process;Cellular_Component;Molecular_Function;Amount_1;Percentage_1;Amount_2;Percentage_2;Amount_NSSI;Percentage_NSSI;Amount_HC;Percentage_HC
High;Q14532;Keratin, type I cuticular Ha2 OS=Homo sapiens OX=9606 GN=KRT32 PE=1 SV=3;1901351864;1898773423;2851930405;5922835073;3309689888;6466406646;1004420019;3021336016;9459174570;6548097356;1935091134;9654175813;12467270168;2561998782;872682800.9;17631067326;3319359175;9742179158;2649462636;1115561803;1353260722;476620669.1;591342347.2;140676426.8;528939593.9;1204140656;2283932000;1960621802;1342735512;1806423964;2820612951;916826157.5;1042374096;1309933597;6001586122;1329747250;1319352738;1093691557;2094338722;787330073.2;175391702.3;934711622.5;3849534224;720521368;1163504547;1142800188;4466603858;3860493943;2283884170;4651469442;289502225.5;2763912849;183892255.1;722000362;370840048.3;2370222226;4645152572;1063455423;842472989.4;2599769616;131271839.9;207511195;871976125.4;3077178474;833207650.6;1331582043;260830558.6;1620404966;2697292562;1989041259;other biological processes;"cytosol;cytoskeleton";other molecular function;70;100;70;100;36;100;34;100
High;O95678;Keratin, type II cytoskeletal 75 OS=Homo sapiens OX=9606 GN=KRT75 PE=1 SV=2;1581279685;665038798.7;1593581350;4351580821;1769182149;2364051128;229993936.5;999804494;6895745998;5760885229;459770595.3;1034518109;547671472.5;197152763.4;90096880;1227018404;441708219.6;954361098.9;428234999.1;70442136;277983833;32752366;45157716.5;1114631.844;83915863.22;164764704.8;474924215.6;519230761.1;424265326.1;514643169.6;788324092;115527632;275380618.9;62875456;2822714036;311821702.3;217198057.9;74765640;332394674.4;59457712;1630510.5;54675783.13;846008442;95037632;97702552.31;163710032;919566343.5;1463576836;1071562878;1218408452;13338251.29;1234484132;407216.7188;55299704.89;27920222.81;1096807387;2107515312;125333514.9;161040161.1;784338763.3;8109719.328;193941.7969;168026107.8;1403221822;86320643.78;289723544.8;8270487.5;351559235;655419791.8;344768672;developmental processes;"cytosol;cytoskeleton";other molecular function;70;100;70;100;36;100;34;100
High;Q9NSB4;Keratin, type II cuticular Hb2 OS=Homo sapiens OX=9606 GN=KRT82 PE=1 SV=3;1561360712;2536538560;3567150943;6275335212;3423983220;5560548359;1059950275;3434319182;4833408402;6959950999;2054418789;6126617396;4784763770;2373003517;1276631239;10393728931;4640756881;6612688610;1986561771;2250545602;1619074963;653672490.9;679510621.2;121625824.3;943491780.1;1284727983;2998105443;1973781127;1702242849;2455788041;3046620587;1391734800;1969746771;772305348.6;4189311372;1691696509;1685182878;1424764649;2732801845;1117563126;166541082.7;546570747;3699043910;787733394.1;1299000437;1804205369;4300181829;2588821162;3462278821;3622174917;173787542.2;2429356892;126474745.9;371676234.2;255075455.5;2186919862;4462142959;952027253.1;1191985944;1742441399;200724817;161726374.8;747307774.5;2911274493;895177997.7;1413863597;183179849.8;1658970019;1910058955;2162513255;;"cytosol;cytoskeleton";bone, tooth or skin structural activity;70;100;70;100;36;100;34;100
High;P15924;Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3;1508997957;3607318271;4676116022;5473651157;3171280800;4118470502;1640149805;3884222201;6244863987;7779784299;1610846049;5279799817;3190102636;1625793278;1252384984;8310526813;3163724119;4720372719;2381091801;1187969768;1179021088;447349092.4;767734586.2;195295180.3;896808743.7;1103661093;3450168575;2767071698;2834282926;2529732211;3439469026;1316903990;1616244014;797406998.7;7401645181;2103493768;1751939601;929449526.4;1951037847;815315943;205071855.8;696953736.4;3457495323;1558945151;867655065.7;1452682433;3575723159;4203812048;5207736389;2289894681;207657672.2;2741656155;265073903.6;323453945.5;141531729.9;2004041536;2953446781;795351802.5;794054303.6;2276487004;207553645.6;195306031.3;658907853.5;2463312461;718363475.7;966847013.9;210916178.6;1143023064;1922249373;1908492967;"cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes";"plasma membrane;other membranes;cytoskeleton;other cell component";"cytoskeletal activity;other molecular function";70;100;70;100;36;100;34;100
High;P14618;Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4;1416015053;3135794156;3674293613;7679661608;3377639724;5891954138;968388825.8;2694910497;5855795697;7572657343;1006258941;2617142135;1124871670;768137393.2;551483882.8;4311882105;2591285777;1753970797;1044775290;897018001.4;712756652.7;233835942.8;324724785.1;17284059.79;384924252.1;580079988.8;1227779024;1988629190;872186384.9;1732645155;1867892351;543441976;953539995.8;521285642.4;3731513904;814974988.5;622222417;326382868.7;1205120428;219669707.3;32442039.31;295787673.6;2187509427;417606097.4;471971910.9;422424785;1584800651;1613228536;1236989862;1742553765;52114844.36;3417685803;14399406.25;193389229;139710345.6;2742396692;3604265308;259298338;817375467.6;2397425330;40665531.41;23742248.72;370017789.6;1698601328;507887215.1;856960034.8;49743134.58;1231442255;2455368456;1194709173;"other metabolic processes;other biological processes";"non-structural extracellular;cytosol;ER/Golgi;nucleus;other cell component";"nucleic acid binding activity;kinase activity;other molecular function";70;100;70;100;36;100;34;100
High;Q9BYQ5;Keratin-associated protein 4-6 OS=Homo sapiens OX=9606 GN=KRTAP4-6 PE=2 SV=4;1124437124;8072756132;6382747741;2435786699;3511679682;1162131961;8802804026;9167715595;1734768159;6376442351;3005736585;6675205299;9560978601;6100596753;25709794506;5104143550;3698481744;6889679611;2307732488;6609243447;4627854370;8334941960;7793320170;317800308.1;17801892969;8256955479;16302933868;18269736025;13842461630;10278129953;11965048846;7892300948;20305145786;10056766763;6141588736;18663744874;14930033146;7606687092;7019678749;11580872115;15526466211;2569465955;11444621107;14742975616;6532269707;28012621250;10260408069;18312997100;30948544454;2873913414;381920064.1;5470878398;184199826;994797628.1;2081183108;2597786558;2579852155;1706931033;13767514788;5019872072;1592298425;2143961941;4526264484;8668714525;5137310794;7110841580;2909791777;4710656969;13340080261;16743436367;;"cytosol;cytoskeleton";;70;100;70;100;36;100;34;100
High;P08729;Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5;1070023034;431924870;841547800;1303059638;849493636.9;2045581197;184900990.5;545459466;1939109440;2017791984;229524384;642428553.7;593439820;92898632;64189368;1443580812;193923408;1031030219;210806630.2;52643088;155678110;14586538;18118084;1840931.875;59757636;67881589.22;563127103.7;269006584;226734572.9;282027488;667667982;43721004;177165700.7;37272709.25;2131999774;194896908;97715296;38231156;256173872;29137030;4130246.5;57555548;524275301.3;62004264;50766912;67997496;719092480;1094350121;306858023.3;1078400010;10407430;1091999608;1677278.375;32944224;31149300.88;675010741;1556669030;102554203.4;76810104;685989700.1;3003982.5;2647014.5;76566943;545071002;52768768;109259008;6787150.5;239733720.8;496821843.1;189164357;;"cytosol;cytoskeleton;other cell component";;70;100;70;100;36;100;34;100
High;P33764;Protein S100-A3 OS=Homo sapiens OX=9606 GN=S100A3 PE=1 SV=1;1005742374;13119328336;20198052607;11728235733;13366844802;13722073578;6995363925;13604532583;14135160144;10539469835;3407056259;7144057233;4853129058;4598536655;6886062805;9025169578;7543169335;7363535758;3825353112;4633224008;4024479671;3517870076;4576011237;261755714;261589135.8;13082371449;19761059573;10454087182;10356266477;8727545590;16203271641;17873930360;15830105487;4417658419;15673433023;13953384594;17689306559;15854174809;18658509654;12660462050;6565758715;4426450660;13925217345;7598683224;6350167390;5284415797;3934438739;6021247171;6781456354;1542466409;433724911.7;3289814907;358666078.8;1247505530;90530110;1137726506;819214923.1;379146180.2;1237556689;1751988442;1506474782;1317869471;4512129299;8897606829;8805548187;7993325257;935410862.4;10183545982;25515016574;22260183638;;"plasma membrane;other membranes;cytosol;ER/Golgi";other molecular function;70;100;70;100;36;100;34;100
High;Q14533;Keratin, type II cuticular Hb1 OS=Homo sapiens OX=9606 GN=KRT81 PE=1 SV=3;974968208.9;4384366387;3041536993;3035283362;2988726946;2274927285;2778630653;6829210525;8767248802;7587054869;986021134.8;2511425003;1615044397;1599461491;4193941979;4807569591;3305020877;2334917106;1572661684;2558479800;2050909300;2849099904;2950630463;126730840.4;2442467655;4142773993;5437294781;1786900096;5304218858;3752655666;5499401135;4936351814;5351740832;3974032651;7192547862;4184218953;6258185297;2403344039;4192482702;3303542092;3347224877;1600816815;3612923026;4948139643;2784950774;4302164402;4618588307;5248841156;12496126899;1876152319;192768492.8;1131543491;120540417.6;501930463.6;233764028.1;864967261.1;1709514159;574385262.7;3305414995;2283691138;1089331253;892542777.9;1619635856;1703678312;955183117.6;1899654516;542361212.9;1773532967;3561871964;3165260615;;"cytosol;cytoskeleton";;70;100;70;100;36;100;34;100
High;O76015;Keratin, type I cuticular Ha8 OS=Homo sapiens OX=9606 GN=KRT38 PE=1 SV=3;948465406.9;2336074338;2405289005;1485704815;1020725068;720398881.5;1061456642;3100017281;1502740590;2513696265;492316968.5;1363369720;504354553.8;906051851.1;1551970030;737695703.1;1693739460;759433801.8;565409953.6;498276334.5;2465663683;229789955.8;713213502.2;33678680.8;410475096.8;740427497.6;1717868604;1582314218;526014844;3508482061;1763551156;442903939.7;1834976773;805267668.1;1970854864;2246999712;1277852493;704213963.9;1730781513;420833560;559011959.7;404056607.6;2733142060;1321193411;900823029.3;1753239899;1569922610;3308876209;2504522130;784127881.4;121869139.4;929015984;88837592.23;178627620.4;115838257.8;562231937.2;936327550.1;210466212.6;759467681.4;1271325924;65246932.3;157474308.4;946823081.7;1010502273;381060394.5;1288713355;88238358.35;1572304484;1161544491;2260272375;;"cytosol;cytoskeleton";other molecular function;70;100;70;100;36;100;34;100
High;Q9BYQ3;Keratin-associated protein 9-3 OS=Homo sapiens OX=9606 GN=KRTAP9-3 PE=1 SV=1;747578546;6315132290;4787087262;2355571149;1346791251;403313487.7;3964035392;6936673504;1339501316;4721790354;944725020;1705032663;2180953880;1347607252;8356895995;445574556;1213483319;1189877178;388500526;1297828285;1313731238;2210334561;3102614008;13618529.13;6069922098;3597168254;4375619233;5818995951;6582464914;3110792808;3991855601;3287273420;7242105941;2313092330;2243451260;5883454546;6543750136;1905069875;2846905402;3729614524;2540902654;578885197.4;3193371867;5363574816;2109324098;7182815917;2565518213;4854458674;11867210450;384684084;5674427.875;2021417169;9910502.094;160674772.3;326899488.8;1003528727;1131738904;294900533.8;4884854815;2754578135;367654349.8;159250115.9;1418861240;4191374520;1566222562;3177163191;1021616535;1514801775;6621659497;6464188522;;"cytosol;cytoskeleton";other molecular function;70;100;70;100;36;100;34;100
High;Q6A163;Keratin, type I cytoskeletal 39 OS=Homo sapiens OX=9606 GN=KRT39 PE=1 SV=2;696021317;3458936151;3066539248;4521198061;1926364722;2411576042;1275924027;5700628996;10130485474;5562936098;767822205.1;2554171801;1859830372;943899162.2;2165993766;4815545926;2975366957;3314064408;1678803261;1526277853;737253824.3;400604309.1;796384492.9;60073064.86;867943046.6;1028530328;2924364740;2388998787;3638515219;2113001314;2893817950;1367504568;1762254248;751098129.1;5763397644;1892884786;2125948970;637068439;1998401704;814632036.5;235104215;590906940.4;2877375958;1164654021;1193735486;1385543354;2938784546;4885565666;3949808550;2611627738;70333311.61;1753630755;48139884.66;318342170.3;161859827.4;1502628052;2936291559;364677323.5;1225236745;2156583672;122599220.3;112249633.9;453988672.5;2105386415;503093211.8;965218959.4;86284587.57;1299439230;2608296436;1258296437;;"cytosol;cytoskeleton";other molecular function;70;100;70;100;36;100;34;100
High;Q86SJ6;Desmoglein-4 OS=Homo sapiens OX=9606 GN=DSG4 PE=1 SV=1;593549748.5;2025773747;2043413746;2237453104;1708622640;1984210684;633904461.1;1967845260;2218460515;3317951853;693810048.6;2585210783;1570128089;639138422.5;868577930.8;4869869650;1846951709;2584057336;1054309056;974028443;553557701.3;198167615.3;368063436.3;70516193.13;597387394.1;530268004.7;1990160456;1794664322;1825260954;1575041269;1536762390;603062876.4;933912940.6;412549511.6;2662009100;1128992069;774188773.5;371630006.9;857978196;386691975.9;121504326.3;246708768.1;2327117496;764114758.6;555839995;888830945.5;2063253967;2071967190;2903347799;1361249767;85344295.37;1960717544;133530415.9;153193610.3;102202489.8;1160074211;2132959516;352445734.3;540302958.3;1347385096;55254878.46;81285009.13;288336742.7;1286991332;376200646.6;489973586.4;73330492.88;777849566.3;1297704484;1064625732;cell adhesion;"plasma membrane;other membranes;other cell component";other molecular function;70;100;70;100;36;100;34;100
High;A0A140TA58;Keratin-associated protein 9-2 OS=Homo sapiens OX=9606 GN=KRTAP9-2 PE=1 SV=1;586397373.4;3841005173;2996320170;1215071614;1107329629;241678832.8;3853946339;4938468953;883877500.4;3140264487;518177199;1089500061;1459159044;946820889.5;2369928643;441382393.5;539928995.4;944209697;310331398.9;888028620.5;671549274;1196414469;1780119582;28225601.5;3294354628;1465067512;2943605519;4530500538;3721400716;2417161168;2600254272;1171485364;4111477351;1075095902;2001768566;2944500148;1843422906;911911662.5;777114806;1932541810;1416143741;606015332;3492196589;3416735752;1302897107;2061184135;1490442782;3490321372;5872321004;336976050;21130191;955854764;11904775;202380655.5;309608495;563369379.2;908327789.5;121382406.5;3440847385;2654045722;332241148.5;311420482.3;1075256328;3078079249;1074034936;1109994230;582881565.5;1229632429;5798949660;3392171183;;cytoskeleton;;70;100;70;100;36;100;34;100
High;P04264;Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6;575982302.2;1247996437;786157914.9;1439183192;1541850480;810327043.1;922191381.8;1929557491;2020486986;2953375661;1902497311;1641530081;2237531958;1811326794;2314510188;2220488057;1351799051;1728412727;3660157210;1042030814;727282527.7;401722512.5;209310221.3;30641969.43;269437665.4;1095981739;852052130.7;380723673;364806823;552312993.8;1295620733;313218442.9;1785516843;122705576.3;2952347291;284020901.7;940457962.2;198850224;166530087.7;480110736.8;153754583.2;98698351.63;292925953.6;270741597.8;411832899.6;481570244.1;842025876;373014087.6;319975822.9;233802632.2;72420521.18;835200758.8;56195711.54;108443541.1;80135813.66;141795559.9;295566074.3;142537572.7;375265995.7;123175491.3;105399829.4;72982998.06;114537579.9;271337499.1;273169421.4;193171673.3;100313995.4;213601221.4;1536053825;2019200854;"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes";"non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component";"bone, tooth or skin structural activity;other molecular function";70;100;70;100;36;100;34;100
High;P14923;Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3;567661476;1146364089;1650081686;1887590978;1118843002;1794189682;555508553.3;935680131.4;1759309223;2238374567;540111885.1;2339612699;1530864352;597736122;259245863.2;3926778110;1029167174;2301753557;913901046.3;361359039.2;408293537.4;86260135.22;142928496.4;16389946.31;267061266.8;208560065.8;1048723816;805055376.6;872964229.7;1047462895;933972614.6;195857498.8;533226585;253995637.7;2635608248;509166749.8;351804686.8;197175170.2;498878258.8;166352424.4;34358237.88;151058972.9;1396631513;402360000.5;259407967.2;347345806;1046370797;1326904682;960907718.5;1039419780;19343303.89;961608616.4;59704465.85;89361077.15;37505445.76;947625255.5;1591861587;322192359.2;219870088.3;687228564.8;41366944.77;28029748.58;200819742.6;769164063.8;238736591.7;232538490.9;28948047.09;462818793.3;633359897.8;555503183.4;"cell adhesion;cell organization and biogenesis;developmental processes;other biological processes";"non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component";other molecular function;70;100;70;100;36;100;34;100
